Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Inside NU,@insidenu,2023-11-10T20:48:42.000Z,False,"Brendan Sullivan didn’t get to sling the ball often at Wrigley Field, but when he did, his tape indicated a mixed bag.",0,0,1,951,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723080264002253021,tweet_id:1723080264002253021
Inside NU,@insidenu,2023-11-10T19:37:39.000Z,False,"The selection committee may not think so, but Northwestern sure looked like the best team in the land on Friday afternoon.",0,1,18,2.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723062383109640508,tweet_id:1723062383109640508
Inside NU,@insidenu,2023-11-10T19:36:35.000Z,False,"FINAL: Northwestern 3, Miami (OH) 0

The Wildcats dominate on both ends in their NCAA Tournament debut, and will face the winner of the Iowa-Louisville matchup in the quarters on Sunday afternoon.",0,0,13,1.7K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723062111742353535,tweet_id:1723062111742353535
Inside NU,@insidenu,2023-11-10T19:26:03.000Z,False,"Northwestern snuffs out a Miami corner. Under seven minutes to play, and this is pretty much over.",0,0,1,1.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723059463521710123,tweet_id:1723059463521710123
Inside NU,@insidenu,2023-11-10T19:24:27.000Z,False,The call gets overturned? No foul,0,0,1,1.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723059058708566431,tweet_id:1723059058708566431
Inside NU,@insidenu,2023-11-10T19:22:13.000Z,False,Some beautiful ball movement from the 'Cats before Wadas gets tripped inside the circle. Play is under review.,0,1,4,2.5K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723058497011458298,tweet_id:1723058497011458298
Inside NU,@insidenu,2023-11-10T19:16:58.000Z,False,"Two more corners for NU, two saves. The 'Cats have seven shots on goal now.",0,0,1,875,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723057178380992718,tweet_id:1723057178380992718
Inside NU,@insidenu,2023-11-10T19:11:14.000Z,False,"END OF THIRD: NU 3, Miami 0
For the second time in three contests, Northwestern breaks the game open with a third-quarter outburst. Goals from Bent-Cole and Tromp have all but put this one away.",0,0,1,881,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723055734978380218,tweet_id:1723055734978380218
Inside NU,@insidenu,2023-11-10T19:09:42.000Z,False,Olivia Bent-Cole scored. 3-0. Bump.,0,0,5,1.4K,[],[],['\\U0001f53d'],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723055350188847194,tweet_id:1723055350188847194
Inside NU,@insidenu,2023-11-10T19:37:39.000Z,False,"The selection committee may not think so, but Northwestern sure looked like the best team in the land on Friday afternoon.",0,1,18,2.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723062383109640508,tweet_id:1723062383109640508
Inside NU,@insidenu,2023-11-10T19:08:34.000Z,False,"Miami earns a corner of its own on the other end, but the backhand shot from Claudia Negrete Garcia is wide. Under a minute left in the third quarter.",0,0,1,718,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723055064321859818,tweet_id:1723055064321859818
Inside NU,@insidenu,2023-11-10T19:06:54.000Z,False,"Tromp, on cue! It’s 2-zip.",0,1,6,3.3K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723054643087855856,tweet_id:1723054643087855856
Inside NU,@insidenu,2023-11-10T19:05:41.000Z,False,"Miami starting to generate some momentum in transition, but a takeaway from Northwestern leads to another corner. Another chance to double the lead",0,1,1,2.7K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723054337411162120,tweet_id:1723054337411162120
Inside NU,@insidenu,2023-11-10T18:58:06.000Z,False,Miami's first shot of the day is knocked away by Annabel Skubisz!,0,0,4,1.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723052428285649335,tweet_id:1723052428285649335
Inside NU,@insidenu,2023-11-10T18:57:20.000Z,False,"Some really nice stick work by Miami down the sideline, and the RedHawks draw a corner. Their first huge scoring opportunity of the day.",0,1,1,1.9K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723052236731789695,tweet_id:1723052236731789695
