Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Inside NU,@insidenu,2023-12-23T23:48:31.000Z,False,Here come the ‘Cats,1,3,72,2.5K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738708192266420364,tweet_id:1738708192266420364
Inside NU,@insidenu,2023-12-23T22:36:09.000Z,False,"The Las Vegas Bowl is just hours away. Get acquainted with who’s playing for both sides, plus how to watch and if Northwestern is favored.",0,0,3,1.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738689982813093938,tweet_id:1738689982813093938
Inside NU,@insidenu,2023-12-23T22:35:08.000Z,False,"Today’s injury report for Northwestern. 

Coco Azema, who has been in a walking boot all week, is officially out.

The surprise of the day: QB Brendan Sullivan, who started four games this season, is inactive. Could be a problem for NU if Ben Bryant gets hurt.",4,4,20,10K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738689725672947898,tweet_id:1738689725672947898
Inside NU,@insidenu,2023-12-23T22:07:39.000Z,False,"Yeah. 

This is insane.",1,3,123,6.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738682811031437797,tweet_id:1738682811031437797
Inside NU,@insidenu,2023-12-23T20:57:18.000Z,False,"Northwestern president Michael Schill was greeted with a mix of cheers and boos.

""It has been incredible to watch this team stack up win after win. They have inspired all of us — on campus, and around the world. They inspired us with their tenacy. This is what Wildcats do.""",24,3,44,8.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738665105439719679,tweet_id:1738665105439719679
Inside NU,@insidenu,2023-12-23T20:55:30.000Z,False,"Northwestern AD Derrick Gragg speaking at Northwestern Alumni's pregame tailgate: ""What more can we say about Coach Dave Braun?""

Also thanked fans for staying loyal, and praised the team.

""You're going to see, in a just few hours, what your team is capable of.""",1,1,22,3K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738664651817418765,tweet_id:1738664651817418765
Inside NU,@insidenu,2023-12-23T18:05:07.000Z,True,"The grapes make an appearance in Vegas to close the 2023 season.

First time we're seeing purple-purple-purple since Ireland, which is well over a year ago.",1,1,32,4.9K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738621773082763628,tweet_id:1738621773082763628
Inside NU,@insidenu,2023-12-23T22:07:39.000Z,False,"Yeah. 

This is insane.",1,3,123,6.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738682811031437797,tweet_id:1738682811031437797
Inside NU,@insidenu,2023-12-23T17:53:26.000Z,False,Most of our staffers project that the Wildcats will make it five straight bowl game wins by taking down Utah from Allegiant Stadium.,0,1,11,1.6K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738618832976216189,tweet_id:1738618832976216189
Inside NU,@insidenu,2023-12-23T17:51:19.000Z,False,Start off gameday right — with all our thoughts on Northwestern sports in the latest mailbag.,0,0,3,1.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738618302526820797,tweet_id:1738618302526820797
Inside NU,@insidenu,2023-12-22T20:22:37.000Z,False,"Per source, Northwestern will start Jordan Knox at LG in the Las Vegas Bowl in place of Josh Priebe, who entered the transfer portal.",0,1,15,4K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738293990028653049,tweet_id:1738293990028653049
Inside NU,@insidenu,2023-12-22T20:21:55.000Z,True,Immensely clean. Best helmet of the year for NU's biggest game.,1,5,129,9.9K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738293813658218865,tweet_id:1738293813658218865
Inside NU,@insidenu,2023-12-22T20:01:13.000Z,False,"Braun and Whittingham with the Las Vegas Bowl trophy, which they'll compete for tomorrow night.",0,5,49,3.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738288604840173861,tweet_id:1738288604840173861
Inside NU,@insidenu,2023-12-22T19:59:49.000Z,False,"Braun on coaching NU : ""To pretend that I've wrapped my head around it would be me blowing smoke.

On recruiting and managing the program: ""The way that we move and operate is to ensure we retain those young men.""",0,0,3,998,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738288251444867434,tweet_id:1738288251444867434
Inside NU,@insidenu,2023-12-22T19:58:37.000Z,False,"Gallagher on advice from Blake Gallagher on playing in a bowl: ""He's someone I lean on every week. He watches the game every week, and gives me feedback.

Biggest advice was, ""Business is business. But when it's time to have fun with your teammates and enjoy the city, do that.""",0,2,13,2.2K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738287948137906279,tweet_id:1738287948137906279
Inside NU,@insidenu,2023-12-22T19:56:36.000Z,False,"Braun on talking to Matt Entz and potentially asking him to join the Northwestern staff: ""I'll keep those conversations private. He'll go outside his comfort zone, and I promise that USC is not inside Matt Entz's comfort zone.""",0,0,8,3.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738287441356915135,tweet_id:1738287441356915135
Inside NU,@insidenu,2023-12-22T19:55:11.000Z,False,"Braun said the ""hardest thing"" to navigate is scholarship numbers.

""I'm here to serve these guys, support these guys. That'll continue.""

Said it's ""okay"" if players decide to leave, either via the NFL or portal.",0,1,5,1.6K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738287085000458728,tweet_id:1738287085000458728
