Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Inside NU,@insidenu,2023-12-22T19:44:15.000Z,False,"Braun calls Utah an ""incredibly formidable opponent.""

Emphasizes that he views Utah as a model of a program that's built off of ""team football, physicality and fundamentals.""",0,0,1,784,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1738284331473514658,tweet_id:1738284331473514658
Inside NU,@insidenu,2023-12-21T02:41:40.000Z,False,We have reached College Football playoff discourse territory because this game is so lopsided.,0,0,2,1.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737664605285945389,tweet_id:1737664605285945389
Inside NU,@insidenu,2023-12-20T23:29:00.000Z,False,"Braun on filling recruiting staff openings: ""We have this opportunity to really zoom out. How is the landscape really operating in college football?""

Said there will be ""restructuring.""

""We're gonna rethink it a little bit.""

Also praised the departing Todd McShane.",1,0,11,3.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737616117513044307,tweet_id:1737616117513044307
Inside NU,@insidenu,2023-12-20T23:20:51.000Z,False,"Braun on Jacob Schmidt and TrueNU in recruiting: ""NIL and the football program have to be completely separate. We're going to be compliant in the way we operate...""

Said that he was out in New York to ""build relationships"" with alumni to ""tell the story of our guys.""",1,0,3,1.9K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737614068712976457,tweet_id:1737614068712976457
Inside NU,@insidenu,2023-12-20T23:14:04.000Z,False,"Braun said that, if Timi Oke were living in the Chicago area, he ""might have an offer from every program in the country.""

""He loves football. He wants to be pushed.""

Noted that he probably won't be ready to go right away, but that the team is ""playing the long game.""",0,0,2,1.4K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737612361215693183,tweet_id:1737612361215693183
Inside NU,@insidenu,2023-12-20T23:12:36.000Z,False,"""I would've felt that way five years ago. But to be honest, in the new age of recruiting, and the new landscape of college football, I care less about those rankings.""

Stressed finding ""tough, resilient, team-first"" guys who ""value a Northwestern degree.""",0,1,2,3.4K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737611992414797883,tweet_id:1737611992414797883
Inside NU,@insidenu,2023-12-20T23:04:13.000Z,False,"Braun called it ""critical"" to have players that ""value a Northwestern degree"" and which want to be part of a team.

Noted that college football is becoming ""more transactional and more transient,"" and that NU wants guys who are ""invested in one another.""",0,2,33,2.7K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737609881191170404,tweet_id:1737609881191170404
Inside NU,@insidenu,2023-12-20T23:03:33.000Z,False,"Braun: ""Excited about this class for a lot of reasons. The athletic traits that we're looking for are critical pieces to winning in the Big Ten. We were really intentional with this class.""

Stressed a love for football and wanting to be pushed, plus intelligence.",0,0,4,905,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737609713561608333,tweet_id:1737609713561608333
Inside NU,@insidenu,2023-12-20T23:02:40.000Z,False,"Braun's opening statement: ""Exciting day for Northwestern football.""

Said the staff was up at 3:30 a.m. PT this morning.

On the class: ""It spans a lot of different areas of the country."" Noted midwest roots.

""It was a unique recruiting cycle.""",0,0,1,777,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737609489552113879,tweet_id:1737609489552113879
Inside NU,@insidenu,2023-12-21T02:41:40.000Z,False,We have reached College Football playoff discourse territory because this game is so lopsided.,0,0,2,1.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1737664605285945389,tweet_id:1737664605285945389
