Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Inside NU,@insidenu,2023-12-15T17:28:42.000Z,False,"Northwestern volleyball fell short of its aspirations this season, but an influx of young talent brings hope for a better future.

With new leadership taking over the program, the ‘Cats have the pieces to make some noise in 2024.",0,0,4,1.3K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1735713507423748572,tweet_id:1735713507423748572
Inside NU,@insidenu,2023-12-01T23:06:36.000Z,False,"After eight years with the Wildcats, Shane Davis will no longer lead the volleyball program.",0,0,5,1.6K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1730725110057697372,tweet_id:1730725110057697372
Inside NU,@insidenu,2023-12-01T22:44:17.000Z,False,"BREAKING: Northwestern volleyball has moved on from HC Shane Davis.

The Wildcats went 15-15 and 9-11 in the Big Ten this year. They haven't finished above .500 in conference play since at least 2013.

Davis was a defendant in a hazing lawsuit, dating back to a 2021 suspension.",0,3,17,7.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1730719493196750870,tweet_id:1730719493196750870
Inside NU,@insidenu,2023-11-24T19:20:36.000Z,False,Northwestern volleyball rode a roller-coaster throughout its 2-2 stretch in the past two weeks.,0,0,0,1.4K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1728131521725493508,tweet_id:1728131521725493508
Inside NU,@insidenu,2023-11-12T21:31:31.000Z,False,"The WBB lead is now 25. Also, volleyball is winning on the road at Iowa.   Where in the world does this weekend fall on the ""best weekends in the history of Northwestern Athletics"" list?",0,1,22,2.3K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1723815811624632714,tweet_id:1723815811624632714
Inside NU,@insidenu,2023-11-07T16:48:45.000Z,False,"With a tough slate of games on the horizon, Northwestern volleyball struggled to find success this past weekend.",0,1,1,977,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1721932713555292559,tweet_id:1721932713555292559
Inside NU,@insidenu,2023-10-31T15:35:06.000Z,False,Northwestern volleyball played eight sets against Big Ten foes this past week.,0,0,1,745,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1719377461723410533,tweet_id:1719377461723410533
Inside NU,@insidenu,2023-10-25T18:49:47.000Z,False,"NU Volleyball had a busy week, taking on a national powerhouse and seeking revenge against a conference foe.",0,0,1,1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1717252129872560172,tweet_id:1717252129872560172
Inside NU,@insidenu,2023-10-16T16:47:45.000Z,False,NU Volleyball had an eventful weekend. splitting a pair of conference matchups that were loaded with action,0,1,3,1.8K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1713959929336209817,tweet_id:1713959929336209817
Inside NU,@insidenu,2023-10-12T17:42:56.000Z,False,Northwestern volleyball displayed its tenacity against the Wolverines and Spartans up in Michigan.,0,0,3,1.1K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1712524266413953447,tweet_id:1712524266413953447
